,t,T,s,i,f,L,o,c,h,l,v,n,x,q,V,Q,B,ma
0,1641977100000,1641977399999,ETHUSDT,5m,728690676,728692393,3228.36000000,3234.54,3235.99000000,3227.44000000,639.70360000,1718,True,2067598.21381100,374.62780000,1210852.24845500,0,
1,1641977400000,1641977699999,ETHUSDT,5m,728692394,728694128,3234.53000000,3236.7,3240.39000000,3234.53000000,645.89910000,1735,True,2090823.34796500,298.95290000,967924.93522800,0,
2,1641977700000,1641977999999,ETHUSDT,5m,728694129,728695526,3236.70000000,3232.0,3237.18000000,3229.13000000,502.72740000,1398,True,1625210.84445100,232.37810000,751235.49390100,0,
3,1641978000000,1641978299999,ETHUSDT,5m,728695527,728698064,3231.99000000,3247.99,3248.41000000,3228.85000000,867.12160000,2538,True,2808590.38025700,470.38970000,1523197.80515500,0,
4,1641978300000,1641978599999,ETHUSDT,5m,728698065,728701108,3247.99000000,3246.61,3249.00000000,3245.31000000,1585.80790000,3044,True,5149482.34455700,1148.16150000,3728385.61281400,0,
5,1641978600000,1641978899999,ETHUSDT,5m,728701109,728703508,3246.61000000,3242.52,3249.97000000,3240.28000000,1023.90840000,2400,True,3323183.27992600,594.52930000,1929583.56236400,0,
6,1641978900000,1641979199999,ETHUSDT,5m,728703509,728705347,3242.52000000,3249.5,3249.51000000,3240.63000000,887.04680000,1839,True,2878943.72748000,435.83100000,1414307.03440300,0,
7,1641979200000,1641979499999,ETHUSDT,5m,728705348,728708848,3249.50000000,3256.52,3258.17000000,3249.39000000,1909.67530000,3501,True,6217084.93705700,1017.78470000,3313187.54484300,0,
8,1641979500000,1641979799999,ETHUSDT,5m,728708849,728717715,3256.53000000,3266.66,3275.40000000,3256.42000000,3660.63910000,8867,True,11960216.65397400,2041.98710000,6670805.03982500,0,
9,1641979800000,1641980099999,ETHUSDT,5m,728717716,728720569,3266.66000000,3257.58,3267.86000000,3256.96000000,1538.03970000,2854,True,5018776.25256300,621.91140000,2029579.98590100,0,
10,1641980100000,1641980399999,ETHUSDT,5m,728720570,728723413,3257.56000000,3249.27,3261.58000000,3249.07000000,1415.57920000,2844,True,4607997.11757900,628.60830000,2046301.94711900,0,
11,1641980400000,1641980699999,ETHUSDT,5m,728723414,728725569,3249.27000000,3247.0,3252.58000000,3246.17000000,1111.83140000,2156,True,3612950.89774800,626.53910000,2036072.93491400,0,
12,1641980700000,1641980999999,ETHUSDT,5m,728725570,728727657,3247.00000000,3249.49,3249.50000000,3243.16000000,846.02510000,2088,True,2746258.05251100,433.01440000,1405565.14207400,0,
13,1641981000000,1641981299999,ETHUSDT,5m,728727658,728729725,3249.54000000,3250.83,3255.09000000,3246.26000000,855.53500000,2068,True,2780496.25826300,528.89570000,1718946.62601400,0,
14,1641981300000,1641981599999,ETHUSDT,5m,728729726,728732161,3250.83000000,3261.6,3262.82000000,3249.31000000,1203.24400000,2436,True,3918366.19124200,744.47880000,2424391.46581300,0,
15,1641981600000,1641981899999,ETHUSDT,5m,728732162,728734450,3261.60000000,3254.19,3261.92000000,3254.18000000,732.10260000,2289,True,2385275.13294800,383.96890000,1250942.80642300,0,
16,1641981900000,1641982199999,ETHUSDT,5m,728734451,728737382,3254.18000000,3268.01,3270.38000000,3253.87000000,1521.09550000,2932,True,4964797.67424200,918.79710000,2999174.69526700,0,
17,1641982200000,1641982499999,ETHUSDT,5m,728737383,728739944,3268.00000000,3266.5,3269.60000000,3261.15000000,1376.85300000,2562,True,4494118.81277400,678.74070000,2215574.37061700,0,
18,1641982500000,1641982799999,ETHUSDT,5m,728739945,728741725,3266.50000000,3257.27,3266.83000000,3257.14000000,969.53030000,1781,True,3162233.44291300,514.58560000,1678505.54576600,0,
19,1641982800000,1641983099999,ETHUSDT,5m,728741726,728743279,3257.28000000,3261.8,3262.80000000,3255.10000000,677.20390000,1554,True,2206573.51814300,413.05860000,1345867.69841700,0,
20,1641983100000,1641983399999,ETHUSDT,5m,728743280,728744719,3261.80000000,3259.99,3264.34000000,3259.17000000,556.05830000,1440,True,1813339.90391000,316.59690000,1032412.66353200,0,
21,1641983400000,1641983699999,ETHUSDT,5m,728744720,728746867,3259.99000000,3250.95,3262.18000000,3249.99000000,1171.09000000,2148,True,3810912.55346100,391.90380000,1275342.79310100,0,
